,MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
2721,21700235,600000.0,85718,-110.939487,32.341818,1.17,4897.58,1982,3,2,2760.0,2,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile",100
2722,21901597,665000.0,85755,-110.98213,32.451042,0.26,6352.69,2017,4,4,3676.0,3,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Built-in, Oven: Double",0,"Carpet, Ceramic Tile",135
2723,21207742,635000.0,85737,-110.991533,32.402096,0.84,7828.29,2003,4,4,3685.0,3,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",1,Other,65
2724,21202894,630000.0,85637,-110.774954,31.574849,76.03,2575.54,1995,2,2,2051.0,1,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Mexican Tile, Wood",10
2725,21227776,600000.0,85637,-110.667593,31.763265,57.84,6491.0,1976,5,4,4401.0,2,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,Other,58
2726,21301978,630000.0,85749,-110.723805,32.278647,3.75,4541.63,2007,3,3,3099.0,2,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,Other,84
2727,21702682,670000.0,85730,-110.7545,32.191308,3.21,5748.0,1995,3,4,2984.0,4,"Dishwasher, Garbage Disposal, Microwave, Oven",4,"Carpet, Mexican Tile",0
2728,21700296,667000.0,85718,-110.906693,32.293331,0.97,6978.4,2004,3,3,3395.0,2,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: granite",2,Mexican Tile,0
2729,21631026,660000.0,85658,-111.093696,32.459473,0.68,8527.44,2007,3,3,3113.0,3,"Dishwasher, Garbage Disposal, Gas Range, Indoor Grill, Island, Pantry: Walk-In, Refrigerator, Warming Drawer, Appliance Color: Stainless, Countertops: Granite",2,"Carpet, Natural Stone",83
2730,21801785,650000.0,85750,-110.843645,32.30399,0.78,9284.88,1999,3,3,3453.0,3,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Walk-In, Appliance Color: Black, Microwave: GE, Oven: GE",2,"Carpet, Ceramic Tile",40
2732,21900715,650000.0,85718,-110.888436,32.326338,1.14,5967.56,1966,4,4,3693.0,4,"Dishwasher, Double Sink, Garbage Disposal, Island, Pantry: Walk-In",3,"Concrete, Mexican Tile",258
2734,21916126,660000.0,85718,-110.954881,32.313543,0.95,5408.22,1989,5,4,3344.0,2,"Desk, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Pantry: Walk-In, Appliance Color: Stainless, Countertops: Granite, Oven: Double",1,"Carpet, Mexican Tile",5
2736,21509009,663500.0,85718,-110.905861,32.317521,0.47,5520.86,1993,3,3,3085.0,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Mexican Tile",126
2737,21333623,656650.0,85704,-110.973964,32.379987,3.61,7470.0,1995,7,6,2883.0,2,"Dishwasher, Garbage Disposal, Refrigerator, Microwave",2,"Carpet, Ceramic Tile, Natural Stone",0
2738,21625061,677900.0,85750,-110.859218,32.320718,0.98,6950.51,1991,4,3,3122.0,3,"Dishwasher, Garbage Disposal, Microwave, Oven",1,"Carpet, Ceramic Tile",41
2739,21910203,658000.0,85749,-110.738473,32.250254,0.83,6059.15,2007,4,4,3956.0,3,"Dishwasher, Double Sink, Freezer, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Walk-In, Refrigerator, Reverse Osmosis, Warming Drawer, Appliance Color: Stainless, Countertops: Granite, Microwave: Convection Microwave",2,"Carpet, Natural Stone",0
2740,21706134,650000.0,85750,-110.868934,32.314527,1.13,7163.77,1992,4,4,3417.0,3,"Dishwasher, Garbage Disposal, Refrigerator, Oven",2,"Carpet, Ceramic Tile, Wood",43
2741,21116218,670000.0,85718,-110.941324,32.339891,0.95,8369.34,2001,4,3,3482.0,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Other",159
2742,21806756,670000.0,85750,-110.863071,32.271746,0.52,4734.77,1992,4,3,3198.0,2,"Dishwasher, Double Sink, Garbage Disposal, Island, Lazy Susan, Pantry: Closet, Refrigerator, Water Purifier, Appliance Color: Black, Countertops: Granite, Microwave: built in, Oven: double  ovens",3,"Carpet, Mexican Tile",95
